瘤痢,瘤痢疙,老矫,扁柯(∑C),扁柯 QC敲贰弊,碍荐樊(mm),碍荐樊 QC敲贰弊,浅加(m/s),浅加 QC敲贰弊,浅氢(16规困),浅氢 QC敲贰弊,嚼档(%),嚼档 QC敲贰弊,刘扁拘(hPa),捞浇痢柯档(∑C),泅瘤扁拘(hPa),泅瘤扁拘 QC敲贰弊,秦搁扁拘(hPa),秦搁扁拘 QC敲贰弊,老炼(hr),老炼 QC敲贰弊,老荤(MJ/m2),利汲(cm),3矫埃脚利汲(cm),傈款樊(10盒困),吝窍摸款樊(10盒困),款屈(款屈距绢),弥历款绊(100m ),矫沥(10m),瘤搁惑怕(瘤搁惑怕内靛),泅惑锅龋(惫郴侥),瘤搁柯档(∑C),瘤搁柯档 QC敲贰弊,5cm 瘤吝柯档(∑C),10cm 瘤吝柯档(∑C),20cm 瘤吝柯档(∑C),30cm 瘤吝柯档(∑C)
156,堡林,2019-01-10 00:00,.2,0,,,.2,,0,,39,0,2.4,-12.1,1019.4,0,1028.6,0,,9,,,,9,9,,,1981,,,-1.5,0,,,,
156,堡林,2019-01-10 01:00,-.2,0,,,.6,,270,,39,0,2.3,-12.5,1019.1,0,1028.3,0,,9,,,,10,10,,34,1995,,,-1.4,0,,,,
156,堡林,2019-01-10 02:00,-.5,0,,,.1,,0,,42,0,2.5,-11.8,1019.2,0,1028.4,0,,9,,,,9,9,,28,1987,,,-1.4,0,,,,
156,堡林,2019-01-10 03:00,-.3,0,,,0,,0,,42,0,2.5,-11.6,1019,0,1028.2,0,,9,,,,10,10,As,28,1983,,,-1.3,0,,,,
156,堡林,2019-01-10 04:00,0,0,,,0,,0,,35,0,2.1,-13.6,1018.6,0,1027.8,0,,9,,,,10,10,As,26,2000,,,-1.3,0,,,,
156,堡林,2019-01-10 05:00,0,0,,,.4,,0,,38,0,2.3,-12.6,1018.2,0,1027.4,0,,9,,,,8,5,AcCi,31,1998,,,-1.3,0,,,,
156,堡林,2019-01-10 06:00,0,0,,,.7,,20,,38,0,2.3,-12.6,1017.6,0,1026.8,0,,9,,,,10,10,As,28,2000,,,-1.3,0,,,,
156,堡林,2019-01-10 07:00,.2,0,,,.4,,0,,35,0,2.2,-13.4,1017.8,0,1027,0,,9,,,,10,10,As,24,2000,,,-1.4,0,,,,
156,堡林,2019-01-10 08:00,-.2,0,,,.4,,0,,43,0,2.6,-11.2,1017.8,0,1027,0,0,,.06,,,8,8,Sc,12,1995,,,-1.5,0,,,,
156,堡林,2019-01-10 09:00,.8,0,,,.4,,0,,44,0,2.9,-10,1018.3,0,1027.5,0,.2,,.32,,,9,3,ScAc,16,1961,,,-1,0,,,,
156,堡林,2019-01-10 10:00,1.6,0,,,1,,50,,41,0,2.8,-10.2,1018.7,0,1027.9,0,.4,,.75,,,9,3,ScAc,15,1972,,,1.1,0,,,,
156,堡林,2019-01-10 11:00,3.4,0,,,.6,,50,,38,0,3,-9.6,1018.5,0,1027.6,0,1,,1.42,,,4,4,Sc,15,1975,,,7.3,0,,,,
156,堡林,2019-01-10 12:00,4.6,0,,,1.9,,50,,40,0,3.4,-7.8,1017.3,0,1026.3,0,1,,1.9,,,3,3,Sc,15,1992,,,11.4,0,,,,
156,堡林,2019-01-10 13:00,5.7,0,,,2.1,,340,,46,0,4.2,-5,1016.3,0,1025.3,0,1,,2.1,,,6,6,Sc,15,2000,,,13.7,0,,,,
156,堡林,2019-01-10 14:00,6.1,0,,,2,,50,,46,0,4.3,-4.6,1016.2,0,1025.2,0,1,,1.97,,,4,4,Sc,12,2000,,,14.5,0,,,,
156,堡林,2019-01-10 15:00,4.7,0,,,2.5,,20,,55,0,4.7,-3.5,1016.5,0,1025.5,0,.1,,.57,,,10,6,ScAs,11,2000,,,8.3,0,,,,
156,堡林,2019-01-10 16:00,4.4,0,,,.9,,360,,59,0,4.9,-2.9,1016.3,0,1025.3,0,0,,.42,,,9,9,Sc,10,2000,,,7.1,0,,,,
156,堡林,2019-01-10 17:00,3.9,0,,,1.3,,360,,65,0,5.3,-2,1016.5,0,1025.6,0,0,,.24,,,10,4,ScAs,8,2000,,,5,0,,,,
156,堡林,2019-01-10 18:00,3.7,0,,,1,,290,,68,0,5.4,-1.6,1017.6,0,1026.7,0,0,,.07,,,10,7,ScAs,12,1990,,,3.4,0,,,,
156,堡林,2019-01-10 19:00,3.5,0,,9,1,,320,,72,0,5.7,-1,1018.1,0,1027.2,0,,9,,,,0,0,,,2000,,,2.8,0,,,,
156,堡林,2019-01-10 20:00,3,0,,9,.7,,360,,77,0,5.8,-.6,1017.3,0,1026.4,0,,9,,,,1,1,,10,1943,,,.7,0,,,,
156,堡林,2019-01-10 21:00,1.4,0,,9,2.6,,50,,86,0,5.8,-.6,1016.7,0,1025.9,0,,9,,,,2,2,Sc,11,1669,,,-1.3,0,,,,
156,堡林,2019-01-10 22:00,2.2,0,,9,.3,,0,,83,0,6,-.3,1017.8,0,1026.9,0,,9,,,,0,0,,,1753,,,-.6,0,,,,
156,堡林,2019-01-10 23:00,1.1,0,,9,1,,50,,85,0,5.6,-1.1,1017.2,0,1026.4,0,,9,,,,0,0,,,1567,,,-1.5,0,,,,
156,堡林,2019-01-11 00:00,.9,0,,9,1.4,,50,,83,0,5.4,-1.6,1017.5,0,1026.7,0,,9,,,,0,0,,,1613,,,-1.8,0,,,,
156,堡林,2019-01-11 01:00,-.1,0,,,2.2,,50,,83,0,5,-2.6,1017.9,0,1027.1,0,,9,,,,0,0,,,1441,,,-2.2,0,,,,
156,堡林,2019-01-11 02:00,.1,0,,,2.1,,50,,79,0,4.9,-3.1,1018,0,1027.2,0,,9,,,,9,0,,,1382,,,-2.4,0,,,,
156,堡林,2019-01-11 03:00,-.4,0,,,1.7,,20,,77,0,4.6,-3.9,1017.6,0,1026.8,0,,9,,,,4,0,Ci,,1156,,,-2.9,0,,,,
156,堡林,2019-01-11 04:00,-1.1,0,,,2.6,,50,,79,0,4.5,-4.2,1017,0,1026.2,0,,9,,,,0,0,,,1031,,,-3.2,0,,,,
156,堡林,2019-01-11 05:00,-.3,0,,,3.5,,50,,74,0,4.4,-4.3,1017,0,1026.2,0,,9,,,,0,0,,,794,,40,-3.3,0,,,,
156,堡林,2019-01-11 06:00,-.3,0,,,1.3,,50,,73,0,4.4,-4.5,1017.9,0,1027.1,0,,9,,,,4,4,Sc,10,730,,40,-2.8,0,,,,
156,堡林,2019-01-11 07:00,-.5,0,,,.7,,360,,74,0,4.4,-4.5,1018.1,0,1027.3,0,,9,,,,6,6,Sc,10,673,,40,-3.2,0,,,,
156,堡林,2019-01-11 08:00,.2,0,,,.7,,20,,71,0,4.4,-4.4,1018.3,0,1027.5,0,0,,.06,,,10,10,As,35,646,,40,-2.2,0,,,,
156,堡林,2019-01-11 09:00,1.4,0,,,4.3,,50,,66,0,4.5,-4.2,1017.2,0,1026.4,0,.1,,.22,,,9,9,Ac,40,709,,40,-1.3,0,,,,
156,堡林,2019-01-11 10:00,3.1,0,,,3.2,,50,,60,0,4.6,-3.9,1017.6,0,1026.7,0,.8,,.85,,,3,0,Ci,,731,,40,.4,0,,,,
156,堡林,2019-01-11 11:00,4.7,0,,,2.6,,50,,54,0,4.6,-3.8,1017.5,0,1026.5,0,1,,1.29,,,3,0,Ci,,791,,40,4.8,0,,,,
156,堡林,2019-01-11 12:00,5.7,0,,,2.4,,70,,50,0,4.6,-3.9,1017.1,0,1026.1,0,1,,1.69,,,5,0,Ci,,825,,40,9.5,0,,,,
156,堡林,2019-01-11 13:00,7.4,0,,,2.4,,50,,46,0,4.8,-3.4,1015.7,0,1024.6,0,1,,1.96,,,0,0,,,772,,40,13,0,,,,
156,堡林,2019-01-11 14:00,7.9,0,,,1.6,,20,,43,0,4.6,-3.9,1014.2,0,1023.1,0,1,,1.83,,,0,0,,,885,,40,14,0,,,,
156,堡林,2019-01-11 15:00,8.5,0,,,.4,,0,,40,0,4.4,-4.3,1014.1,0,1023,0,1,,1.49,,,0,0,,,959,,40,13.4,0,,,,
156,堡林,2019-01-11 16:00,9.3,0,,,.7,,50,,39,0,4.6,-3.9,1013.9,0,1022.7,0,.7,,.96,,,8,8,Ac,35,949,,40,11.4,0,,,,
156,堡林,2019-01-11 17:00,7.8,0,,,1,,20,,43,0,4.5,-4,1013.6,0,1022.5,0,.5,,.48,,,7,7,Ac,38,860,,40,6.7,0,,,,
156,堡林,2019-01-11 18:00,7.5,0,,,.9,,20,,43,0,4.5,-4.2,1013.9,0,1022.8,0,0,,.07,,,10,7,ScAs,12,857,,40,5,0,,,,
156,堡林,2019-01-11 19:00,7.5,0,,,.5,,90,,42,0,4.3,-4.6,1014.1,0,1023,0,,9,,,,10,1,,23,862,,40,4.3,0,,,,
156,堡林,2019-01-11 20:00,7.6,0,,,.3,,0,,41,0,4.3,-4.8,1013.7,0,1022.6,0,,9,,,,10,10,,30,938,,40,3.9,0,,,,
156,堡林,2019-01-11 21:00,6.6,0,,,.4,,0,,52,0,5.1,-2.5,1013.5,0,1022.4,0,,9,,,,10,10,As,30,630,,40,3.6,0,,,,
156,堡林,2019-01-11 22:00,6.3,0,,,0,,0,,55,0,5.3,-2,1013.7,0,1022.7,0,,9,,,,10,1,,20,551,,40,3.4,0,,,,
156,堡林,2019-01-11 23:00,6,0,,9,2.9,,200,,58,0,5.4,-1.6,1013.9,0,1022.9,0,,9,,,,10,6,StNs,7,816,,4001,3.2,0,,,,
156,堡林,2019-01-12 00:00,4.2,0,.4,0,.9,,90,,87,0,7.2,2.2,1013.6,0,1022.6,0,,9,,,,10,7,StNs,7,873,,401901,2.9,0,,,,
156,堡林,2019-01-12 01:00,3.3,0,,9,.2,,0,,97,0,7.5,2.8,1013.9,0,1023,0,,9,,,,10,8,StNs,6,557,,1901,2.6,0,,,,
156,堡林,2019-01-12 02:00,2.5,0,,9,2.4,,50,,98,0,7.2,2.2,1013.6,0,1022.7,0,,9,,,,10,8,StNs,6,561,,1901,2.3,0,,,,
156,堡林,2019-01-12 03:00,1.9,0,3,0,2.2,,70,,98,0,6.9,1.6,1013.3,0,1022.4,0,,9,,,,10,7,StNs,7,246,,1901,2,0,,,,
156,堡林,2019-01-12 04:00,1.9,0,,9,1,,50,,99,0,6.9,1.7,1012.9,0,1022,0,,9,,,,10,7,StNs,4,191,,1901,1.9,0,,,,
156,堡林,2019-01-12 05:00,1.9,0,,9,2.1,,50,,99,0,6.9,1.7,1012.2,0,1021.3,0,,9,,,,10,8,StNs,5,190,,1901,1.8,0,,,,
156,堡林,2019-01-12 06:00,2.1,0,.3,0,1.4,,20,,99,0,7,1.9,1012.8,0,1021.9,0,,9,,,,10,5,StNs,5,342,,1901,1.8,0,,,,
156,堡林,2019-01-12 07:00,2.2,0,,9,1.2,,20,,99,0,7.1,2,1013.4,0,1022.5,0,,9,,,,10,7,StNs,7,227,,1901,1.8,0,,,,
156,堡林,2019-01-12 08:00,2.2,0,,9,.9,,50,,99,0,7.1,2,1013.8,0,1022.9,0,0,,.05,,,10,8,StNs,8,422,,1901,1.9,0,,,,
156,堡林,2019-01-12 09:00,2.5,0,.2,0,2,,50,,99,0,7.2,2.3,1013.5,0,1022.6,0,0,,.22,,,10,6,ScAs,10,474,,1901,2.2,0,,,,
156,堡林,2019-01-12 10:00,3.9,0,,9,.8,,20,,97,0,7.8,3.4,1014,0,1023,0,.3,,.71,,,3,3,Ac,36,656,,19,5.9,0,,,,
156,堡林,2019-01-12 11:00,5,0,,9,.3,,0,,92,0,8,3.8,1013.8,0,1022.8,0,.8,,1.22,,,2,2,Ac,36,597,,19,9.5,0,,,,
156,堡林,2019-01-12 12:00,6.9,0,,9,1.6,,20,,76,0,7.5,2.9,1012.8,0,1021.7,0,1,,1.69,,,2,0,Ci,,922,,19,12.4,0,,,,
156,堡林,2019-01-12 13:00,7.9,0,,9,.8,,20,,66,0,7,1.9,1012.4,0,1021.3,0,1,,2.02,,,2,2,Sc,10,1099,,19,14.4,0,,,,
156,堡林,2019-01-12 14:00,9.4,0,,9,.8,,290,,59,0,6.9,1.7,1012.3,0,1021.1,0,1,,1.96,,,0,0,,,1020,,,15.6,0,,,,
156,堡林,2019-01-12 15:00,9.2,0,,9,2.5,,320,,44,0,5.1,-2.4,1012.2,0,1021,0,1,,1.59,,,0,0,,,748,,40,12.2,0,,,,
156,堡林,2019-01-12 16:00,8.8,0,,9,2.3,,20,,49,0,5.6,-1.3,1012.6,0,1021.4,0,1,,1.13,,,0,0,,,784,,40,9.3,0,,,,
156,堡林,2019-01-12 17:00,7.8,0,,9,2.5,,20,,55,0,5.8,-.6,1013.7,0,1022.6,0,1,,.52,,,0,0,,,673,,40,5.7,0,,,,
156,堡林,2019-01-12 18:00,6.3,0,,9,2.2,,20,,62,0,5.9,-.4,1014.2,0,1023.2,0,0,,.11,,,0,0,,,509,,40,3,0,,,,
156,堡林,2019-01-12 19:00,5.4,0,,9,2.1,,20,,62,0,5.6,-1.3,1014.3,0,1023.3,0,,9,,,,0,0,,,635,,40,1.5,0,,,,
156,堡林,2019-01-12 20:00,5,0,,9,1.5,,20,,65,0,5.7,-1,1014.7,0,1023.7,0,,9,,,,0,0,,,515,,40,.4,0,,,,
156,堡林,2019-01-12 21:00,4.3,0,,9,1.8,,20,,67,0,5.6,-1.2,1014.9,0,1023.9,0,,9,,,,4,0,Ci,,449,,40,-.3,0,,,,
