,electricity,date,timestamp,기온(°C),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),전운량(10분위),시정(10m),지면온도(°C)
0,5022.236341938682,4,1547164800.0,0.9,1.4,50,83,5.4,-1.6,1017.5,1026.7,0.0,1613,-1.8
1,4826.440278426686,4,1547168400.0,-0.1,2.2,50,83,5.0,-2.6,1017.9,1027.1,0.0,1441,-2.2
2,4678.401134904972,4,1547172000.0,0.1,2.1,50,79,4.9,-3.1,1018.0,1027.2,9.0,1382,-2.4
3,4599.554773866921,4,1547175600.0,-0.4,1.7,20,77,4.6,-3.9,1017.6,1026.8,4.0,1156,-2.9
4,4583.277447219418,4,1547179200.0,-1.1,2.6,50,79,4.5,-4.2,1017.0,1026.2,0.0,1031,-3.2
5,4659.937298254718,4,1547182800.0,-0.3,3.5,50,74,4.4,-4.3,1017.0,1026.2,0.0,794,-3.3
6,4879.3644849310385,4,1547186400.0,-0.3,1.3,50,73,4.4,-4.5,1017.9,1027.1,4.0,730,-2.8
7,5258.836465781192,4,1547190000.0,-0.5,0.7,360,74,4.4,-4.5,1018.1,1027.3,6.0,673,-3.2
8,5722.134505663111,4,1547193600.0,0.2,0.7,20,71,4.4,-4.4,1018.3,1027.5,10.0,646,-2.2
9,6081.650905665899,4,1547197200.0,1.4,4.3,50,66,4.5,-4.2,1017.2,1026.4,9.0,709,-1.3
10,6236.021314250926,4,1547200800.0,3.1,3.2,50,60,4.6,-3.9,1017.6,1026.7,3.0,731,0.4
11,6235.1018648109475,4,1547204400.0,4.7,2.6,50,54,4.6,-3.8,1017.5,1026.5,3.0,791,4.8
12,6199.864273335988,4,1547208000.0,5.7,2.4,70,50,4.6,-3.9,1017.1,1026.1,5.0,825,9.5
13,6239.288243889144,4,1547211600.0,7.4,2.4,50,46,4.8,-3.4,1015.7,1024.6,0.0,772,13.0
14,6307.94716574915,4,1547215200.0,7.9,1.6,20,43,4.6,-3.9,1014.2,1023.1,0.0,885,14.0
15,6310.007938475872,4,1547218800.0,8.5,0.4,0,40,4.4,-4.3,1014.1,1023.0,0.0,959,13.4
16,6258.627004608313,4,1547222400.0,9.3,0.7,50,39,4.6,-3.9,1013.9,1022.7,8.0,949,11.4
17,6143.050891484893,4,1547226000.0,7.8,1.0,20,43,4.5,-4.0,1013.6,1022.5,7.0,860,6.7
18,5910.780804852235,4,1547229600.0,7.5,0.9,20,43,4.5,-4.2,1013.9,1022.8,10.0,857,5.0
19,5627.619395110771,4,1547233200.0,7.5,0.5,90,42,4.3,-4.6,1014.1,1023.0,10.0,862,4.3
20,5372.245068371089,4,1547236800.0,7.6,0.3,0,41,4.3,-4.8,1013.7,1022.6,10.0,938,3.9
21,5147.734537834441,4,1547240400.0,6.6,0.4,0,52,5.1,-2.5,1013.5,1022.4,10.0,630,3.6
22,4975.063175990339,4,1547244000.0,6.3,0.0,0,55,5.3,-2.0,1013.7,1022.7,10.0,551,3.4
23,4852.067573567784,4,1547247600.0,6.0,2.9,200,58,5.4,-1.6,1013.9,1022.9,10.0,816,3.2
24,4737.845304594954,5,1547251200.0,4.2,0.9,90,87,7.2,2.2,1013.6,1022.6,10.0,873,2.9
25,4619.7810648563045,5,1547254800.0,3.3,0.2,0,97,7.5,2.8,1013.9,1023.0,10.0,557,2.6
26,4519.040171866987,5,1547258400.0,2.5,2.4,50,98,7.2,2.2,1013.6,1022.7,10.0,561,2.3
27,4452.058967356387,5,1547262000.0,1.9,2.2,70,98,6.9,1.6,1013.3,1022.4,10.0,246,2.0
28,4440.227536747065,5,1547265600.0,1.9,1.0,50,99,6.9,1.7,1012.9,1022.0,10.0,191,1.9
29,4519.193598060743,5,1547269200.0,1.9,2.1,50,99,6.9,1.7,1012.2,1021.3,10.0,190,1.8
30,4728.7296214942735,5,1547272800.0,2.1,1.4,20,99,7.0,1.9,1012.8,1021.9,10.0,342,1.8
31,5124.141637301855,5,1547276400.0,2.2,1.2,20,99,7.1,2.0,1013.4,1022.5,10.0,227,1.8
32,5636.399937929384,5,1547280000.0,2.2,0.9,50,99,7.1,2.0,1013.8,1022.9,10.0,422,1.9
33,6027.073904756544,5,1547283600.0,2.5,2.0,50,99,7.2,2.3,1013.5,1022.6,10.0,474,2.2
34,6156.340195993309,5,1547287200.0,3.9,0.8,20,97,7.8,3.4,1014.0,1023.0,3.0,656,5.9
35,6098.54182817014,5,1547290800.0,5.0,0.3,0,92,8.0,3.8,1013.8,1022.8,2.0,597,9.5
36,5984.631109622274,5,1547294400.0,6.9,1.6,20,76,7.5,2.9,1012.8,1021.7,2.0,922,12.4
37,5889.7251715873035,5,1547298000.0,7.9,0.8,20,66,7.0,1.9,1012.4,1021.3,2.0,1099,14.4
38,5843.8110906717575,5,1547301600.0,9.4,0.8,290,59,6.9,1.7,1012.3,1021.1,0.0,1020,15.6
39,5824.83687900521,5,1547305200.0,9.2,2.5,320,44,5.1,-2.4,1012.2,1021.0,0.0,748,12.2
40,5799.826389096037,5,1547308800.0,8.8,2.3,20,49,5.6,-1.3,1012.6,1021.4,0.0,784,9.3
41,5736.221027955262,5,1547312400.0,7.8,2.5,20,55,5.8,-0.6,1013.7,1022.6,0.0,673,5.7
42,5554.51847405821,5,1547316000.0,6.3,2.2,20,62,5.9,-0.4,1014.2,1023.2,0.0,509,3.0
43,5293.938490262954,5,1547319600.0,5.4,2.1,20,62,5.6,-1.3,1014.3,1023.3,0.0,635,1.5
44,5070.85748712999,5,1547323200.0,5.0,1.5,20,65,5.7,-1.0,1014.7,1023.7,0.0,515,0.4
45,4898.872229324801,5,1547326800.0,4.3,1.8,20,67,5.6,-1.2,1014.9,1023.9,4.0,449,-0.3
46,4751.760318697816,5,1547330400.0,3.7,1.1,70,73,5.8,-0.7,1014.9,1023.9,7.0,347,-0.7
47,4631.838693480608,5,1547334000.0,4.0,0.3,0,73,5.9,-0.4,1015.5,1024.5,0.0,341,-0.2
48,4532.624191741677,6,1547337600.0,3.9,0.6,340,76,6.1,0.0,1015.5,1024.5,1.0,384,0.2
49,4424.229237083481,6,1547341200.0,2.8,0.0,0,82,6.1,0.0,1015.3,1024.4,0.0,358,-0.8
50,4332.796453690527,6,1547344800.0,2.7,0.6,70,86,6.3,0.5,1015.6,1024.7,0.0,312,-0.7
51,4285.252602646331,6,1547348400.0,2.6,0.5,340,89,6.5,0.9,1015.9,1025.0,0.0,296,-0.9
52,4245.915139429774,6,1547352000.0,1.0,1.0,20,93,6.1,0.0,1015.4,1024.6,0.0,242,-1.2
53,4205.358241276573,6,1547355600.0,1.4,0.7,250,93,6.2,0.3,1015.3,1024.4,0.0,261,-1.6
54,4209.760973265986,6,1547359200.0,0.6,0.0,0,95,6.1,-0.1,1015.7,1024.9,0.0,220,-2.0
55,4277.848455489766,6,1547362800.0,0.0,0.3,0,97,5.9,-0.4,1016.3,1025.5,0.0,195,-2.3
56,4373.722792102842,6,1547366400.0,0.3,0.6,20,93,5.8,-0.7,1016.7,1025.9,0.0,257,-2.4
57,4452.023588346179,6,1547370000.0,1.1,0.4,0,85,5.6,-1.1,1016.9,1026.1,0.0,293,-1.4
58,4478.724426032643,6,1547373600.0,2.5,0.7,250,77,5.6,-1.1,1017.2,1026.3,0.0,324,-0.9
59,4458.328048691325,6,1547377200.0,3.9,1.1,290,64,5.2,-2.3,1017.0,1026.1,0.0,380,5.3
60,4433.947160554363,6,1547380800.0,5.8,1.3,290,54,5.0,-2.8,1016.3,1025.3,0.0,494,10.9
61,4435.166493691521,6,1547384400.0,6.7,1.2,250,45,4.4,-4.4,1015.7,1024.7,0.0,619,12.8
62,4464.670042427913,6,1547388000.0,8.3,1.5,360,38,4.2,-5.2,1015.2,1024.1,0.0,858,12.7
63,4537.388019841737,6,1547391600.0,8.1,1.4,270,39,4.2,-5.0,1015.1,1024.0,0.0,774,11.3
64,4657.48437279819,6,1547395200.0,7.6,1.4,360,40,4.2,-5.1,1015.3,1024.2,0.0,755,8.3
65,4776.200451486593,6,1547398800.0,6.7,1.7,340,47,4.6,-3.8,1015.6,1024.6,0.0,704,4.6
66,4826.083596153159,6,1547402400.0,5.1,1.5,360,44,3.9,-6.1,1016.4,1025.4,0.0,1032,1.3
67,4784.371236275134,6,1547406000.0,3.8,1.4,20,47,3.8,-6.5,1016.9,1026.0,0.0,1042,-0.7
68,4700.67444508751,6,1547409600.0,2.6,0.8,50,52,3.8,-6.2,1017.2,1026.3,0.0,1008,-0.6
69,4633.069812653716,6,1547413200.0,2.2,1.0,70,53,3.8,-6.4,1017.2,1026.3,0.0,907,-1.1
70,4579.799386314095,6,1547416800.0,1.9,0.7,50,59,4.2,-5.2,1017.4,1026.5,0.0,710,-1.6
71,4522.169764028566,6,1547420400.0,1.2,1.2,20,66,4.4,-4.4,1017.5,1026.7,0.0,614,-2.0
72,4459.986563605388,0,1547424000.0,0.7,0.4,0,70,4.5,-4.1,1017.7,1026.9,0.0,552,-2.4
73,4398.322527192731,0,1547427600.0,0.2,1.0,20,77,4.8,-3.3,1017.2,1026.4,0.0,473,-2.8
74,4342.906292650109,0,1547431200.0,-0.1,1.3,20,82,5.0,-2.8,1017.3,1026.5,0.0,349,-3.2
75,4295.17292294167,0,1547434800.0,-0.7,0.5,340,84,4.9,-3.0,1017.4,1026.6,0.0,377,-3.6
76,4265.366162821647,0,1547438400.0,-1.2,0.8,20,84,4.7,-3.5,1017.1,1026.3,0.0,364,-3.9
77,4261.822087626271,0,1547442000.0,-1.9,0.2,0,88,4.7,-3.6,1017.0,1026.3,0.0,329,-4.2
78,4278.507210339822,0,1547445600.0,-2.0,1.0,290,89,4.7,-3.5,1017.3,1026.6,0.0,318,-4.5
79,4302.644722480524,0,1547449200.0,-2.0,0.7,250,90,4.8,-3.4,1017.7,1027.0,0.0,300,-4.8
80,4326.678334286269,0,1547452800.0,-1.8,0.2,0,91,4.9,-3.0,1018.2,1027.5,0.0,293,-4.8
81,4343.270280419587,0,1547456400.0,-0.8,0.1,0,87,5.0,-2.6,1018.4,1027.6,0.0,276,-2.7
82,4326.266474742523,0,1547460000.0,0.9,0.3,0,80,5.2,-2.1,1018.4,1027.6,0.0,293,-1.0
83,4296.085432720688,0,1547463600.0,3.7,0.9,50,64,5.1,-2.4,1018.0,1027.1,0.0,341,3.3
84,4294.980839490831,0,1547467200.0,4.8,0.8,360,57,4.9,-3.0,1017.5,1026.5,0.0,360,6.9
85,4326.880156826749,0,1547470800.0,6.6,2.0,250,52,5.1,-2.5,1016.4,1025.4,0.0,415,11.7
86,4399.469281253546,0,1547474400.0,7.9,0.7,110,45,4.8,-3.3,1015.4,1024.3,0.0,493,12.6
87,4511.462153387678,0,1547478000.0,8.1,1.7,270,43,4.6,-3.7,1015.3,1024.2,8.0,620,10.5
88,4664.613635641982,0,1547481600.0,8.0,2.0,250,44,4.7,-3.5,1015.1,1024.0,8.0,594,9.0
89,4822.765529284727,0,1547485200.0,7.4,1.0,290,47,4.9,-3.1,1015.1,1024.0,4.0,474,5.3
90,4916.374158487035,0,1547488800.0,5.4,1.0,360,58,5.2,-2.2,1015.8,1024.8,2.0,344,1.6
91,4932.476551062141,0,1547492400.0,4.0,0.8,250,65,5.3,-1.9,1015.9,1024.9,6.0,290,-0.3
92,4909.125920673205,0,1547496000.0,3.1,0.7,230,72,5.5,-1.4,1015.7,1024.8,6.0,253,-0.7
93,4887.775602998427,0,1547499600.0,2.5,0.5,270,75,5.5,-1.4,1015.8,1024.9,4.0,239,-1.0
94,4842.276569785061,0,1547503200.0,2.0,0.0,0,75,5.3,-1.9,1015.5,1024.6,8.0,230,-1.3
95,4740.248269213798,0,1547506800.0,1.9,0.4,0,77,5.4,-1.7,1015.7,1024.8,8.0,219,-1.4
96,4616.366008454679,1,1547510400.0,1.3,0.6,250,81,5.4,-1.6,1015.4,1024.5,10.0,209,-1.5
97,4498.711121186616,1,1547514000.0,1.0,0.1,0,83,5.5,-1.5,1014.7,1023.9,9.0,204,-1.5
98,4408.755050379059,1,1547517600.0,0.5,1.8,250,87,5.5,-1.4,1015.2,1024.4,10.0,189,-1.5
99,4359.100518759486,1,1547521200.0,0.8,0.1,0,86,5.6,-1.2,1015.4,1024.6,10.0,193,-1.4
100,4331.198500438419,1,1547524800.0,0.7,0.4,0,87,5.6,-1.2,1014.8,1024.0,10.0,191,-1.5
101,4398.7443751548635,1,1547528400.0,1.2,0.6,250,85,5.7,-1.0,1014.5,1023.6,10.0,192,-1.2
102,4652.649405676163,1,1547532000.0,1.3,0.1,0,85,5.7,-0.9,1014.0,1023.1,9.0,192,-1.1
103,5097.761522682005,1,1547535600.0,0.2,0.7,250,89,5.5,-1.4,1014.5,1023.7,6.0,173,-1.4
104,5673.8333652626425,1,1547539200.0,0.3,0.7,250,91,5.7,-1.0,1014.8,1024.0,1.0,172,-1.7
105,6155.370003468591,1,1547542800.0,1.1,0.1,0,88,5.8,-0.6,1015.0,1024.2,5.0,185,-1.2
106,6363.372836992157,1,1547546400.0,3.0,0.4,0,81,6.1,0.0,1015.5,1024.6,1.0,196,-0.5
107,6363.137498123654,1,1547550000.0,4.6,0.8,290,72,6.1,0.0,1015.6,1024.6,1.0,217,6.2
108,6276.0937469694945,1,1547553600.0,6.1,1.6,360,58,5.5,-1.5,1015.2,1024.2,8.0,348,9.5
109,6196.241991503124,1,1547557200.0,6.5,2.2,360,49,4.8,-3.4,1014.5,1023.5,5.0,455,10.5
110,6178.488191142853,1,1547560800.0,6.8,3.2,290,47,4.6,-3.7,1014.0,1022.9,6.0,729,9.0
111,6197.294620037208,1,1547564400.0,6.5,3.1,290,48,4.6,-3.7,1013.9,1022.9,7.0,979,9.4
112,6212.1184744758775,1,1547568000.0,4.9,2.6,270,66,5.7,-0.9,1014.5,1023.5,10.0,641,5.5
113,6157.699694490551,1,1547571600.0,2.6,3.2,20,78,5.8,-0.8,1015.5,1024.6,10.0,399,3.0
114,5955.232797743769,1,1547575200.0,2.3,1.6,20,71,5.1,-2.4,1016.0,1025.1,10.0,643,1.8
115,5679.156374449881,1,1547578800.0,1.4,1.5,320,62,4.2,-5.0,1016.9,1026.1,10.0,1420,0.5
116,5468.924587281306,1,1547582400.0,0.3,2.5,360,66,4.1,-5.3,1017.4,1026.6,10.0,1783,-0.3
117,5337.794978206127,1,1547586000.0,-0.5,2.7,20,71,4.2,-5.1,1017.4,1026.6,9.0,1464,-0.6
118,5228.920024340759,1,1547589600.0,-1.1,2.7,20,74,4.2,-5.1,1017.8,1027.1,9.0,656,-0.8
119,5104.126167817551,1,1547593200.0,-1.9,3.1,20,80,4.3,-4.8,1018.0,1027.3,9.0,1619,-0.8
120,4948.985776183117,2,1547596800.0,-1.9,3.0,360,59,3.1,-8.8,1018.2,1027.5,8.0,2000,-1.2
121,4769.934186628298,2,1547600400.0,-1.9,2.3,20,55,2.9,-9.7,1017.9,1027.2,9.0,2000,-1.6
122,4618.817532992067,2,1547604000.0,-2.4,2.9,20,56,2.9,-9.9,1018.4,1027.7,6.0,2000,-2.2
123,4542.2703919898495,2,1547607600.0,-3.3,3.4,20,60,2.9,-9.9,1018.8,1028.1,6.0,2000,-3.3
124,4533.481530046356,2,1547611200.0,-3.8,2.9,20,60,2.8,-10.4,1018.8,1028.2,3.0,2000,-4.1
125,4603.012653722795,2,1547614800.0,-4.9,4.5,50,61,2.6,-11.2,1018.4,1027.8,0.0,2000,-4.9
126,4815.833104125548,2,1547618400.0,-5.4,3.5,50,59,2.4,-12.1,1018.5,1027.9,0.0,2000,-5.5
127,5238.410783127022,2,1547622000.0,-5.5,1.9,50,57,2.3,-12.6,1019.2,1028.6,0.0,2000,-6.1
128,5772.7717210026585,2,1547625600.0,-5.7,2.9,70,58,2.3,-12.6,1019.7,1029.1,0.0,2000,-6.3
129,6162.3794944336205,2,1547629200.0,-4.5,1.9,70,54,2.4,-12.4,1019.7,1029.1,0.0,1807,-4.3
130,6288.779973668901,2,1547632800.0,-3.1,1.1,50,51,2.5,-11.8,1020.0,1029.3,0.0,1954,-1.1
131,6258.902059475111,2,1547636400.0,-1.4,2.0,360,45,2.5,-11.8,1020.5,1029.8,0.0,1886,1.8
