거래일,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2017-01-01,55122.00025,52867.08431,51112.85964,50228.43714,50270.22378,50799.94295,50977.49163,50159.77005,49592.16798,49722.51782,49953.99787,49637.58557,49429.43912,49185.34085,49326.41341,49371.40992,49589.38287,51882.15402,53668.27648,53537.4243,53490.78492,53574.56477,54804.7524,55415.26297
2017-01-02,53229.02548,52920.74405,52521.67207,52558.054,53271.30338,54905.0582,56645.02366,58570.71254,64429.09414,67943.25673,68466.82279,67668.76694,63281.21054,65109.5837,65638.65262,65560.15769,66293.4745,66666.54602,65854.39132,64004.04846,62153.75753,60619.74204,60606.06141,61807.70918
2017-01-03,58347.54895,57012.44028,56541.88017,56513.31631,57373.69797,58908.70117,61596.09922,64252.66753,68662.06271,71201.37381,70521.89269,69079.54475,63811.02411,66080.48151,66752.04802,66488.28873,67703.83451,68683.59288,68571.18682,66663.57764,64526.28462,62889.17741,62559.95542,63718.92409
2017-01-04,60016.32336,58366.48843,58643.34614,58715.11106,58916.98777,59710.07343,61895.51298,64259.83376,69180.34447,71630.16282,71161.95837,69726.91675,64560.57812,66751.44529,67257.05729,66809.35692,67653.22112,68143.51424,67470.51174,65571.37045,63998.52134,62667.07412,62512.1369,63744.0567
2017-01-05,59751.77799,57865.01145,58001.78231,57893.72453,58456.74216,59722.97433,62058.10242,64262.80299,69080.14776,71715.61673,71807.73837,70984.73091,66580.80825,69163.48994,69860.23713,69280.43397,69700.3172,69391.24809,68039.5259,65975.46819,63804.64394,62122.48427,61813.145,63178.04751
2017-01-06,59385.21511,57436.47029,57132.61829,56848.13577,57575.20899,58817.55906,61444.63978,63599.18939,67805.22411,69729.70296,68865.57042,67563.6378,62785.7599,64903.77757,65292.68382,64896.59281,65634.98941,66109.67323,66109.74316,64631.55507,62754.53131,61363.66253,61477.2703,62856.07918
2017-01-07,59325.36353,56590.17752,55137.04323,55494.96263,56221.11195,57226.40026,58335.87332,58768.70786,60453.48547,61067.76219,61312.5357,60400.46743,57329.60311,57851.58878,57833.92891,57249.27281,57264.25145,57591.14242,58206.98102,57556.57576,56988.01896,56380.49574,57046.13497,58545.38317
2017-01-08,55301.45395,52764.43546,51774.50989,51918.51138,52546.71067,52829.67664,52952.62755,52647.51816,52735.18274,52362.80413,52330.05007,51785.40305,51776.26759,51785.17359,51856.74414,51674.15797,51728.45586,53224.1146,54862.56573,54779.79005,54505.07536,54443.55419,55464.13397,55636.55212
2017-01-09,52537.46194,51703.20465,51249.83952,51599.05945,52469.27348,54302.69176,57056.19671,59958.21307,67177.29046,70436.90074,70619.35724,69422.13332,64533.12841,66384.15748,67026.31642,66842.23941,67979.75526,68741.79059,68658.75885,66674.34398,64684.05024,62853.50171,62782.39574,64066.01267
2017-01-10,60341.30953,59209.59118,58882.72102,58723.11316,59284.12078,60808.54306,63114.24601,64579.89071,69925.68385,72206.17172,71648.68193,70362.27256,65934.90715,68176.0684,69055.22853,68919.98336,70012.00954,70648.92475,70321.35911,68264.88417,66260.7605,64411.85248,64090.52571,65436.1121
2017-01-11,61655.70386,59820.10588,59892.44727,60464.83224,61250.09099,62805.90812,65118.36572,67506.53505,71870.57471,74259.23077,73753.85884,72295.9217,66913.31824,69373.24035,70370.54124,70197.07173,71260.52327,71301.9927,70370.09554,68062.81207,66269.91381,64653.10246,64264.21192,65444.28553
2017-01-12,61659.1805,59759.68347,60013.31823,60078.47706,60829.32287,62265.35758,64085.0896,66160.80727,70943.01543,73633.74849,73611.96065,72306.92711,67149.10896,69682.82721,70500.99163,70232.2396,71277.15276,71436.13972,70877.60921,68776.29522,66388.18369,64583.15234,64437.72661,66043.76473
2017-01-13,62544.1225,60795.58488,60651.93462,60382.92824,60895.39607,62307.77901,64885.08754,67706.0931,72171.26398,74771.49979,75220.31628,74594.9654,69622.63954,71951.88921,72575.02812,72210.05381,72773.26137,72401.80918,71114.62513,68863.64548,66683.85999,65001.9789,65094.75706,67285.84969
2017-01-14,63741.89497,61373.32733,60888.46971,60757.52074,61016.58237,61489.26589,62522.73519,63009.79154,63897.16853,64508.78319,65345.95772,64927.19118,62330.2358,62349.31758,61990.4258,61647.9126,62193.70759,62767.59785,63744.27975,62928.04353,62208.08869,61617.67515,62512.88202,64315.03437
2017-01-15,61503.20223,59091.73724,57548.0067,57205.39588,57386.09984,57531.81713,57466.98616,57352.5419,57255.46763,56694.36771,57043.12594,56664.8887,56448.21341,55873.27825,55068.07553,55130.87084,55655.35465,57720.01621,59827.07387,59630.25305,59365.54346,59000.79261,60130.30138,60985.89521
